term,property,value
http://purl.obolibrary.org/obo/FOVT_0001679,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0003-2699-3066
http://purl.obolibrary.org/obo/FOVT_0001572,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0003-2699-3066
http://purl.obolibrary.org/obo/FOVT_0001573,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0003-2699-3066
http://purl.obolibrary.org/obo/FOVT_0001675,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0003-2699-3066
http://purl.obolibrary.org/obo/FOVT_0002120,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0003-2699-3066
